Sorted by recommended artist values
""
""
1 recommended artists. 
,MAP,MAR,F1 score
1,0.7000000000000003,0.028815681861495683,0.05535275325450606
2,0.5400000000000001,0.01862311240798681,0.036004527836178
""
3 recommended artists. 
,MAP,MAR,F1 score
1,0.6733333333333338,0.07536366092805644,0.13555514557648932
2,0.5133333333333328,0.05681110309531851,0.10230050863931554
""
100 recommended artists. 
,MAP,MAR,F1 score
1,0.4134891205736878,1.5243398516004536,0.6505196833614646
""
5 recommended artists. 
,MAP,MAR,F1 score
1,0.5840000000000004,0.1070938645125939,0.18099659130808302
""
7 recommended artists. 
,MAP,MAR,F1 score
1,0.5457142857142849,0.14448159013958115,0.22847330886856657
""
200 recommended artists. 
,MAP,MAR,F1 score
1,0.4041594292968742,3.0172162415623904,0.7128339659636728
""
10 recommended artists. 
,MAP,MAR,F1 score
1,0.5020000000000003,0.18550897112136794,0.270907020605225
""
50 recommended artists. 
,MAP,MAR,F1 score
1,0.4204738095238161,0.7621089929340227,0.5419440750623499
""
20 recommended artists. 
,MAP,MAR,F1 score
1,0.44700000000000034,0.32298155166787157,0.37500314983601907
""
30 recommended artists. 
,MAP,MAR,F1 score
1,0.4326666666666643,0.4857587776031572,0.45767815432579817
